code,ticker,name,price,ma50,ma150,ma200,market_cap,avg_dollar_volume_5d,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_market_cap_gte_min,futu_filter_avg_dollar_volume_5d_gte_min,futu_filter_within_25_pct_of_52w_high
US.ATI,ATI,ATI Inc,157.365,153.628,127.837,115.189,2.147566874e+10,975607055.7,123.466,-8.032,70.42010865,171.108429,2.432499284,20.17491024,10.98021512,True,True,True,True,True,True,True
US.ATKR,ATKR,Atkore,73.88,66.682,66.231,64.666,2494725612,123629637.8,40.317,-6.516,52.65220893,79.02956656,10.79451726,0.6809500083,2.420128043,True,True,True,True,True,True,True
US.ATOM,ATOM,Atomera,8.65,6.076,4.088,4.017,334897725,85974066.75,357.309,-24.651,1.891500058,11.47991347,42.36339697,48.63013699,1.767488175,True,True,True,True,True,True,True
US.ATRO,ATRO,Astronics,80.225,72.254,64.627,58.231,2875292480,318769450.2,194.186,-4.448,27.27016241,83.95951942,11.03191519,11.801569,10.98384022,True,True,True,True,True,True,True
US.ATS,ATS,ATS Corp,32.14,31.189,29.232,28.833,3151642872,15562228.19,34.787,-9.971,23.84502957,35.6996079,3.049151945,6.694718117,1.383831027,True,True,True,True,True,True,True
US.AUPH,AUPH,Aurinia Pharmaceuticals,15.52,15.304,14.836,14.124,1995897934,97386250.41,113.04,-8.056,7.285016898,16.8798399,1.411395714,3.154489081,5.041064854,True,True,True,True,True,True,True
US.AVBP,AVBP,ArriVent BioPharma,27.913,26.686,23.263,22.192,1300022678,39333239.44,73.369,-13.153,16.10034089,32.14043087,4.597916511,14.71435326,4.826063446,True,True,True,True,True,True,True
US.AVGO,AVGO,博通,426.49,369.278,354.398,345.841,2.019951487e+12,3.381633736e+10,94.082,-3.555,219.7473233,442.2105863,15.49293486,4.198669293,2.474258402,True,True,True,True,True,True,True
US.AVNS,AVNS,Avanos Medical,24.725,18.963,14.525,13.79,1157743007,112021806.7,165.774,-0.742,9.303016849,24.90983095,30.38548753,30.55421687,5.329949239,True,True,True,True,True,True,True
US.AVR,AVR,安特瑞斯科技,7.145,5.961,5.369,5.093,695510040.4,27063123.55,150.701,-4.606,2.850008576,7.489988888,19.86243919,11.02626187,5.419202827,True,True,True,True,True,True,True
US.AVT,AVT,安富利,84.64,70.256,58.645,56.995,6942518216,436905722.1,93.739,-3.224,43.68764162,87.45970075,20.4736962,19.79878933,2.894990789,True,True,True,True,True,True,True
US.AXGN,AXGN,AxoGen,41,35.878,31.073,27.285,2180290784,147114427,344.926,-10.538,9.215015531,45.82951421,14.27615809,15.46358575,13.88308594,True,True,True,True,True,True,True
US.AXSM,AXSM,Axsome Therapeutics,228.682,183.068,166.018,153.531,1.176790677e+10,657361003.3,137.986,-3.066,96.09052633,235.9151588,24.9164245,10.26997073,8.133210882,True,True,True,True,True,True,True
US.AXTI,AXTI,AXT Inc,122.51,71.971,35.079,27.161,8014994272,4623670759,8777.536,-8.574,1.380000036,133.9990812,70.22133915,105.1683343,29.15209307,True,True,True,True,True,True,True
US.AYA,AYA,Aya Gold & Silver,19.06,16.818,15.287,14.041,2732246216,42570489.63,156.873,-13.363,7.42000911,21.99983841,13.33095493,10.01504546,8.874011823,True,True,True,True,True,True,True
US.AZZ,AZZ,AZZ Inc,142.01,133.632,120.074,117.946,4243302681,149788102.6,65.01,-6.369,86.06145082,151.6698529,6.269456418,11.29137032,1.804215488,True,True,True,True,True,True,True
US.BAK,BAK,Braskem,4.77,3.991,3.403,3.318,1900769663,97309365.3,105.603,-11.584,2.320005058,5.39495114,19.51891756,17.27887158,2.561784207,True,True,True,True,True,True,True
US.BAND,BAND,Bandwidth,54.99,25.583,18.275,17.571,1760631712,244454317.1,339.92,-1.627,12.5,55.89948461,114.947426,39.98905609,4.006601787,True,True,True,True,True,True,True
US.BB,BB,黑莓,6.205,4.408,4.163,4.133,3636511030,570291835.3,98.871,-6.127,3.120113038,6.609994354,40.76678766,5.885178957,0.7258649891,True,True,True,True,True,True,True
US.BC,BC,宾士域,77.34,75.953,75.16,71.955,5025123035,167215977.1,61.275,-13.879,47.95535576,89.80388059,1.826129317,1.055082491,4.454172747,True,True,True,True,True,True,True
US.BE,BE,Bloom Energy,281.111,199.725,149.267,127.012,8.007379328e+10,1.169230684e+10,1554.967,-9.19,16.9858976,309.5595199,40.74902992,33.80385484,17.52196643,True,True,True,True,True,True,True
US.BEAM,BEAM,Beam Therapeutics,28.25,27.72,27.219,25.527,2906337796,300057917.1,84.039,-22.475,15.35000734,36.43985811,1.911976912,1.840626033,6.628275943,True,True,True,True,True,True,True
US.BELFA,BELFA,Bel Fuse-A,228.665,217.457,179.601,163.856,2909237796,35455057.01,264.875,-17.211,62.66940733,276.2021525,5.154122424,21.07783364,9.609046968,True,True,True,True,True,True,True
US.BELFB,BELFB,Bel Fuse-B,258.215,237.955,199.728,184.391,3620873288,572167189.3,274.907,-16.237,68.87441419,308.2685673,8.514214873,19.13952976,8.317651078,True,True,True,True,True,True,True
US.BEN,BEN,Franklin Resources,31.76,26.501,24.764,24.473,1.650367627e+10,476347817.7,59.437,-2.096,19.92009383,32.43994117,19.84453417,7.014214182,1.189065501,True,True,True,True,True,True,True
US.BEP,BEP,Brookfield Renewable Partners LP,33.77,32.895,30.043,28.73,1.024162934e+10,67238498.28,57.696,-6.116,21.41462054,35.96992033,2.65997872,9.493059947,4.570135747,True,True,True,True,True,True,True
