code,ticker,name,price,ma50,ma150,ma200,price_to_52w_low_pct,price_to_52w_high_pct,estimated_52w_low,estimated_52w_high,price_above_ma50_pct,ma50_above_ma150_pct,ma150_above_ma200_pct,futu_filter_price_gt_ma50,futu_filter_ma50_gt_ma150,futu_filter_ma150_gt_ma200,futu_filter_gt_30_pct_above_52w_low,futu_filter_within_25_pct_of_52w_high
US.ALFVY,ALFVY,ALFA LAVAL AB UNSP ADR EACH REPR 1 ORD,58.485,56.905,52.769,50.774,47.645,-5.546,39.61190694,61.91902937,2.77655742,7.837935151,3.92917635,True,True,True,True,True
US.ALGM,ALGM,Allegro Microsystems,45.3,38.099,33.333,32.636,102.14,-11.867,22.41021075,51.39958926,18.90075855,14.29814298,2.135678392,True,True,True,True,True
US.ALKS,ALKS,阿尔凯默斯,38.47,32.397,31.311,30.593,52.871,-2.755,25.16500841,39.55987454,18.74556286,3.468429625,2.346942111,True,True,True,True,True
US.ALRS,ALRS,Alerus Financial,26.835,24.926,23.386,22.913,36.154,-2.771,19.70929976,27.59979019,7.658669662,6.585136406,2.064330293,True,True,True,True,True
US.ALXO,ALXO,ALX Oncology,2.045,1.916,1.716,1.574,406.188,-23.12,0.4040000948,2.659989594,6.732776618,11.65501166,9.021601017,True,True,True,True,True
US.AMAL,AMAL,Amalgamated Bank,40.42,39.929,35.065,33.286,63.039,-7.77,24.79161428,43.82521956,1.229682687,13.87138172,5.344589317,True,True,True,True,True
US.AMAT,AMAT,应用材料,445.275,379.098,312.451,279.595,191.903,-0.707,152.5421116,448.4455098,17.45643607,21.3303846,11.75128311,True,True,True,True,True
US.AMBK,AMBK,AMERICAN BANK INC,18.25,17.557,15.878,15.394,32,-0.109,13.82575758,18.26991421,3.947143589,10.57437964,3.14408211,True,True,True,True,True
US.AMBZ,AMBZ,AMERICAN BUSINESS BANK,72,71.122,65.352,61.835,74.094,-1.819,41.35696807,73.33394445,1.234498467,8.82911005,5.687717312,True,True,True,True,True
US.AMD,AMD,美国超微公司,446.61,274.658,241.042,222.95,314.848,-4.808,107.6562982,469.1675771,62.60585892,13.94611727,8.114823952,True,True,True,True,True
US.AME,AME,阿美特克,231.45,225.32,213.45,206.28,33.324,-4.823,173.599652,243.178499,2.720575182,5.561021316,3.475858057,True,True,True,True,True
US.AMFC,AMFC,AMB FINANCIAL CORP,33.8,32.988,28.345,26.053,60.232,-0.441,21.0944131,33.94971826,2.461501152,16.38031399,8.797451349,True,True,True,True,True
US.AMG,AMG,Affiliated Managers,302.005,287.074,283.714,269.865,75.061,-9.783,172.5141522,334.7539821,5.201097975,1.184291223,5.131825172,True,True,True,True,True
US.AMKR,AMKR,艾马克技术,73.655,58.274,47.121,41.724,318.927,-7.036,17.58182213,79.22959425,26.39427532,23.66885253,12.93500144,True,True,True,True,True
US.AMSA,AMSA,AMERICAN SENIORS ASSOCIATION HLDGS,0.2,0.056,0.051,0.048,666.283,0,0.02610001788,0.2,257.1428571,9.803921569,6.25,True,True,True,True,True
US.AMSSY,AMSSY,AMS-OSRAM AG UNSPON ADS EACH REP 0.5 ORD SHS(PST SPT),11.73,6.794,6.429,5.961,179.952,-10.114,4.190004001,13.04986316,72.6523403,5.677399284,7.851031706,True,True,True,True,True
US.AMTB,AMTB,Amerant Bancorp,22.68,22.514,20.673,20.497,46.525,-6.972,15.47858727,24.37975663,0.7373190015,8.905335462,0.8586622433,True,True,True,True,True
US.AMX,AMX,美洲移动,27.145,25.538,23.248,22.324,68.227,-2.356,16.13593537,27.79996723,6.292583601,9.850309704,4.139043182,True,True,True,True,True
US.AMZN,AMZN,亚马逊,267.66,235.813,230.315,229.25,36.556,-3.916,196.0074988,278.5687523,13.50519267,2.387165404,0.4645583424,True,True,True,True,True
US.ANAB,ANAB,AnaptysBio,62.723,50.046,36.3,31.024,450.083,-13.318,11.40246108,72.35989017,25.33069576,37.8677686,17.00618876,True,True,True,True,True
US.ANET,ANET,Arista Networks,147.33,146.116,139.161,139.157,75.689,-18.058,83.85840889,179.7979058,0.8308467245,4.997808294,0.002874451159,True,True,True,True,True
US.ANGPY,ANGPY,VALTERRA PLATINUM LTD SPON ADR EACH REP 0.16667 ORD SHS,14.735,14.404,13.468,12.312,167.438,-22.704,5.509688227,19.06308218,2.297972785,6.94980695,9.389213775,True,True,True,True,True
US.ANIK,ANIK,阿尼卡疗法,15.365,14.717,11.53,10.864,95.232,-5.387,7.87012375,16.23984019,4.403071278,27.64093669,6.130338733,True,True,True,True,True
US.ANIOY,ANIOY,ACERINOX SA ADR EACH REPR 0.50 ORD,8.484,7.52,6.951,6.564,59.676,-2.594,5.31325935,8.709935733,12.81914894,8.185872536,5.895795247,True,True,True,True,True
